nome,sexo,data_nascimento,serie,nota_bim1,nota_bim2,nota_bim3,nota_bim4
Felipe Ferreira,M,2012-06-25,1º EM,1.6,0.5,8.1,8.3
Larissa Lima,F,2011-08-30,3º EM,9.3,8.1,2.2,9.9
Mariana Costa,F,2006-07-19,6º Ano,8.2,1.4,6.2,9.4
Lucas Ferreira,F,2011-06-27,3º EM,8.1,6.0,8.8,0.4
Fernanda Ferreira,M,2010-09-29,7º Ano,7.6,0.2,5.8,4.9
Patricia Costa,F,2005-03-07,8º Ano,2.3,7.0,2.2,5.9
Beatriz Melo,F,2006-06-21,7º Ano,2.3,2.6,6.3,9.1
Ana Rocha,F,2005-06-02,6º Ano,4.1,7.9,4.1,
Aline Dias,F,2012-10-14,6º Ano,6.9,5.9,,5.3
Gustavo Souza,F,2005-07-13,2º EM,7.9,8.9,5.2,5.7
Bruno Pereira,M,2011-04-04,9º Ano,3.5,4.5,7.4,4.4
Larissa Barbosa,M,2006-03-18,1º EM,2.4,6.3,5.9,1.9
Pedro Oliveira,M,2010-04-16,2º EM,3.5,9.0,3.3,3.8
Diego Ferreira,M,2010-03-21,2º EM,5.8,3.1,0.8,9.0
Rafael Santos,M,2009-07-26,6º Ano,6.5,10.0,5.1,4.3
Lucas Araújo,F,2013-09-23,2º EM,6.1,5.9,5.9,4.8
Diego Carvalho,F,2008-09-11,1º EM,1.5,1.6,1.2,1.8
Larissa Moreira,F,2011-11-11,7º Ano,7.1,9.1,3.8,6.9
Camila Rocha,F,2011-07-17,6º Ano,5.3,3.5,5.9,3.9
Larissa Rocha,F,2012-12-13,7º Ano,8.7,7.7,0.7,0.4
Lucas Santos,M,2011-09-30,7º Ano,3.9,6.4,,0.6
Gustavo Costa,M,2010-06-21,1º EM,3.6,6.2,2.7,0.5
Bruno Rocha,M,2008-06-11,9º Ano,7.4,0.7,4.3,5.0
Patricia Costa,F,2012-11-08,6º Ano,5.3,5.4,5.5,3.9
Rafael Carvalho,F,2005-07-14,9º Ano,7.6,2.6,0.3,1.9
Patricia Souza,M,2009-12-31,6º Ano,3.6,5.4,7.9,3.9
Juliana Melo,F,2012-02-06,6º Ano,9.1,0.8,6.9,0.7
Larissa Santos,M,2009-02-27,8º Ano,5.7,0.6,6.5,2.2
Patricia Lima,Feminino,2007-03-01,6º Ano,5.8,9.2,5.1,
Camila Pereira,F,2012-02-08,8º Ano,7.0,9.5,1.0,2.8
Camila Lima,M,2011-06-24,8º Ano,6.3,2.5,9.8,2.9
Gustavo Almeida,F,2011-03-31,8º Ano,5.1,7.1,,0.1
João Teixeira,M,2011-05-06,2º EM,5.6,4.5,1.6,6.6
Bruno Araújo,F,2005-04-09,1º EM,,9.7,3.4,8.5
Pedro Dias,M,2011-05-20,8º Ano,9.8,8.1,4.2,3.0
Maria Silva,M,2008-02-25,1º EM,8.1,9.6,0.1,0.7
Beatriz Moreira,M,2007-05-22,2º EM,,7.9,4.0,2.2
,F,2013-02-15,6º Ano,0.9,9.8,8.5,1.0
Mariana Santos,M,2011-05-29,2º EM,9.8,5.6,5.8,8.8
Patricia Gomes,F,2010-01-07,8º Ano,9.4,2.2,4.6,6.9
Beatriz Ribeiro,F,2008-08-04,1º EM,8.2,7.4,2.2,1.0
Beatriz Melo,F,2013-07-31,6º Ano,2.8,9.7,7.3,4.8
Bruno Moreira,M,2012-02-01,6º Ano,0.2,,9.7,6.5
Larissa Melo,F,2008-01-17,1º EM,4.6,8.7,9.1,6.7
Beatriz Martins,F,2012-11-13,7º Ano,6.2,9.9,5.1,0.8
Lucas Almeida,M,2013-03-21,6º Ano,7.3,0.2,4.4,0.4
Aline Ribeiro,M,2006-06-10,8º Ano,1.8,5.2,10.0,1.7
João Almeida,F,2010-09-24,7º Ano,-0.9,5.9,7.7,4.7
Maria Oliveira,F,2006-03-30,9º Ano,2.4,3.2,9.0,4.5
Rodrigo Dias,M,2007-01-21,1º EM,4.9,1.6,5.7,7.8
Carlos Santos,F,2012-07-23,2º EM,6.3,6.0,7.8,3.0
Diego Almeida,M,2009-01-27,9º Ano,4.8,9.8,1.0,7.0
Beatriz Teixeira,M,2011-01-28,1º EM,6.3,7.2,8.8,6.3
Larissa Pereira,F,2005-09-28,2º EM,4.7,0.6,6.3,7.8
Camila Dias,F,2009-12-28,9º Ano,7.4,2.2,9.3,4.1
Patricia Lima,F,2005-02-17,6º Ano,0.2,2.9,9.6,5.5
Lucas Ferreira,F,2010-03-27,1º EM,4.1,3.5,9.5,6.2
Bruno Gomes,M,2013-04-04,7º Ano,5.7,0.9,9.4,9.1
Rodrigo Dias,M,2009-12-30,2º EM,9.1,7.2,7.0,1.8
Camila Gomes,M,2005-02-01,3º EM,8.0,5.9,9.4,0.2
Pedro Almeida,M,2013-12-23,2º EM,5.5,2.3,2.6,6.3
Rodrigo Silva,F,2006-11-26,3º EM,4.8,7.7,2.7,6.5
Fernanda Rocha,F,2009-07-06,9º Ano,9.1,2.1,0.4,9.7
Beatriz Carvalho,F,2006-01-27,9º Ano,9.2,6.7,6.8,7.9
Rodrigo Araújo,F,2013-10-08,3º EM,0.7,3.0,7.3,4.5
Camila Santos,F,2009-03-04,1º EM,3.3,4.8,5.1,6.1
Felipe Araújo,M,2006-10-29,3º EM,8.9,5.4,8.2,0.5
Ana Ribeiro,F,2012-12-05,9º Ano,0.6,9.1,0.3,7.9
João Martins,M,2012-11-07,8º Ano,5.1,8.0,2.9,9.5
Larissa Moreira,F,2008-04-22,1º EM,,1.7,2.0,8.8
Camila Teixeira,F,2010-01-03,7º Ano,5.2,7.4,5.8,2.8
Diego Costa,F,2008-02-10,6º Ano,0.9,6.0,2.0,8.6
Lucas Barbosa,F,2012-08-05,6º Ano,8.8,6.8,4.8,6.3
Rafael Martins,F,2011-04-16,7º Ano,,5.8,1.2,2.8
Diego Lima,M,2006-04-28,7º Ano,3.6,6.7,0.8,9.1
Juliana Pereira,M,2008-11-07,1º EM,2.3,3.5,2.5,3.6
Rodrigo Silva,F,2009-05-19,6º Ano,1.5,5.9,2.8,2.4
Diego Teixeira,M,2013-09-20,3º EM,8.2,4.4,4.2,8.5
Pedro Pereira,F,2005-04-07,6º Ano,3.3,9.8,5.6,3.4
Mariana Teixeira,F,2012-08-13,1º EM,5.0,8.5,6.2,0.7
Camila Almeida,F,2009-07-24,9º Ano,5.7,9.7,0.5,2.6
Rodrigo Rocha,M,2013-02-26,3º EM,9.1,2.4,4.3,8.4
Gustavo Souza,M,2012-06-14,1º EM,3.0,5.9,2.5,6.6
Rodrigo Oliveira,M,2012-04-30,6º Ano,5.8,3.2,2.7,1.9
Ana Gomes,M,2010-05-01,8º Ano,4.1,8.8,7.0,0.9
Patricia Melo,F,2011-02-13,1º EM,1.2,1.5,3.0,9.3
Pedro Gomes,M,2013-02-15,9º Ano,5.1,5.6,5.4,8.3
Aline Costa,M,2010-03-27,1º EM,0.1,2.2,9.7,2.9
Aline Costa,M,2008-09-23,3º EM,9.9,9.5,1.0,9.4
Maria Melo,F,2006-09-28,1º EM,5.9,4.4,9.9,6.4
Bruno Gomes,F,2012-11-24,3º EM,5.2,4.5,2.5,8.4
Camila Dias,F,2009-11-08,7º Ano,9.3,9.2,5.3,4.5
Aline Araújo,M,2013-07-28,9º Ano,,5.0,2.2,6.1
Ana Silva,F,2013-04-18,7º Ano,1.6,1.0,0.9,8.5
Carlos Silva,,2013-03-25,9º Ano,1.3,2.3,5.4,0.2
Ana Carvalho,M,2012-12-18,7º Ano,6.0,,3.3,
Pedro Moreira,F,2011-05-13,6º Ano,8.0,4.1,6.5,8.9
Lucas Costa,F,2008-05-24,6º Ano,1.9,8.3,8.2,2.6
Larissa Ribeiro,M,2013-11-14,2º EM,6.7,1.9,3.8,8.3
Patricia Carvalho,M,2005-11-27,6º Ano,3.6,8.8,6.4,0.9
João Martins,M,2010-03-27,1º EM,7.9,6.9,6.7,3.0
Maria Ribeiro,M,2007-06-07,3º EM,2.8,7.0,0.8,9.8
Bruno Moreira,F,2012-10-07,2º EM,3.4,0.2,4.7,8.6
Juliana Costa,M,2011-02-17,7º Ano,8.4,4.3,4.2,2.2
Juliana Moreira,F,2008-04-17,3º EM,7.6,4.0,8.6,5.5
Gustavo Oliveira,,2011-11-21,1º EM,3.7,5.7,7.5,8.2
Pedro Dias,M,2007-05-27,2º EM,9.5,5.1,0.6,0.2
Diego Carvalho,F,2006-07-01,3º EM,,0.9,10.0,4.7
Ana Lima,F,2006-11-10,6º Ano,2.9,6.0,2.7,3.7
Larissa Oliveira,M,2008-02-11,1º EM,1.5,3.1,7.9,6.3
Larissa Carvalho,M,2009-07-20,3º EM,1.6,,2.9,3.0
Carlos Oliveira,F,2005-01-12,1º EM,9.5,4.3,9.1,9.9
Patricia Araújo,,2012-07-06,8º Ano,8.0,1.4,4.1,3.3
,F,2010-09-14,6º Ano,9.0,5.6,2.3,1.9
Bruno Barbosa,M,,3º EM,7.9,3.9,0.5,0.6
Maria Gomes,F,2008-09-25,1º EM,4.7,8.2,3.6,9.0
Lucas Melo,M,2013-05-17,8º Ano,5.9,7.0,6.1,0.4
Mariana Martins,M,2011-08-19,7º Ano,2.2,7.0,1.3,3.3
Rafael Martins,M,2012-02-22,2º EM,7.0,8.9,8.2,0.3
Patricia Martins,M,2005-12-28,6º Ano,10.0,4.6,,3.3
Rodrigo Silva,F,2005-08-24,3º EM,5.2,,9.8,2.7
Patricia Rocha,F,2011-06-23,9º Ano,6.3,2.7,,6.8
Felipe Rocha,F,2007-06-05,7º Ano,9.4,8.7,9.8,3.0
Maria Lima,M,2011-03-12,8º Ano,3.7,2.3,9.6,9.4
Rodrigo Santos,F,2013-11-01,6º Ano,9.2,4.0,7.1,9.5
João Dias,M,2008-11-04,8º Ano,8.7,9.6,8.0,6.5
Lucas Araújo,F,2007-09-28,1º EM,2.9,2.9,2.7,4.2
Beatriz Gomes,M,2009-10-27,9º Ano,8.3,8.5,9.9,9.6
Maria Ferreira,,2005-10-23,3º EM,8.6,0.8,,4.5
Camila Oliveira,M,2011-05-26,1º EM,6.5,1.1,2.1,7.4
Maria Silva,F,2008-12-01,3º EM,4.2,9.7,3.7,4.3
Beatriz Rocha,M,2006-10-31,7º Ano,4.1,2.4,7.6,1.6
Diego Gomes,F,2010-04-19,,1.8,5.5,8.1,7.2
Felipe Santos,F,2009-06-24,6º Ano,7.7,4.2,4.2,10.0
Carlos Gomes,F,2009-03-23,8º Ano,4.6,7.4,5.5,4.9
Rafael Moreira,F,2007-02-19,8º Ano,0.3,7.1,9.8,4.8
Pedro Almeida,M,2009-03-03,9º Ano,2.4,6.1,,2.8
Juliana Teixeira,M,2012-02-27,3º EM,6.2,4.2,7.9,7.7
Bruno Ferreira,F,2010-07-31,7º Ano,2.3,2.0,7.5,2.4
Maria Silva,M,2008-03-02,7º Ano,3.2,7.5,4.5,4.0
João Ferreira,M,2009-01-08,6º Ano,3.0,2.0,1.6,2.0
Aline Dias,M,2011-08-09,2º EM,9.9,6.1,4.3,2.8
Larissa Carvalho,F,2010-05-09,2º EM,0.4,2.0,3.3,8.4
Fernanda Silva,M,2012-04-10,2º EM,7.6,6.0,3.6,5.2
Lucas Martins,M,2006-07-31,6º Ano,3.2,3.5,1.1,7.7
Pedro Melo,M,2006-05-22,6º Ano,5.3,0.7,1.1,
Camila Gomes,F,2006-09-23,2º EM,6.0,8.8,7.4,0.2
Carlos Gomes,F,2006-01-11,3º EM,0.4,1.2,2.7,1.1
Rodrigo Teixeira,F,2006-02-03,6º Ano,9.1,3.4,4.6,7.7
Pedro Rocha,M,2012-10-25,3º EM,7.9,9.5,8.4,5.7
Rodrigo Araújo,M,2006-06-16,1º EM,4.8,0.0,,4.6
Rodrigo Souza,M,2007-08-24,6º Ano,0.3,6.1,,3.0
Bruno Teixeira,M,2005-04-07,3º EM,4.7,6.5,2.9,3.4
Patricia Costa,M,2011-10-29,1º EM,2.2,6.8,4.4,6.4
Lucas Almeida,M,2009-03-29,2º EM,2.4,6.0,2.4,8.2
Beatriz Melo,F,2005-05-18,9º Ano,6.2,2.4,9.4,3.4
Larissa Moreira,F,2008-05-07,3º EM,9.0,3.8,0.1,2.2
Bruno Araújo,M,2007-08-10,1º EM,4.0,2.1,1.3,3.9
João Silva,F,2012-06-30,1º EM,9.9,,2.9,8.5
Aline Almeida,F,2013-10-27,9º Ano,4.0,1.0,2.4,7.8
Camila Oliveira,F,2006-05-27,1º EM,2.9,7.5,7.1,1.8
Lucas Barbosa,M,2010-11-16,1º EM,5.3,0.3,2.5,3.3
Juliana Gomes,F,2006-03-19,7º Ano,0.9,4.3,7.2,3.3
Carlos Pereira,M,2006-10-25,3º EM,8.6,2.9,6.5,8.2
Patricia Costa,M,2005-10-19,1º EM,8.3,1.1,,5.0
Lucas Araújo,M,2013-07-09,7º Ano,1.0,2.3,2.1,3.4
Ana Ribeiro,F,2005-10-17,7º Ano,7.8,3.0,3.3,4.3
Mariana Melo,M,2009-03-05,1º EM,2.0,6.6,8.5,1.3
Juliana Silva,M,2010-09-25,1º EM,0.8,7.7,9.4,
Fernanda Barbosa,F,2009-10-29,8º Ano,4.5,0.3,9.4,8.1
Aline Gomes,F,2007-11-13,7º Ano,5.1,5.7,1.4,
Diego Moreira,F,2008-02-18,2º EM,2.1,6.3,2.2,
Lucas Souza,F,2006-06-24,9º Ano,3.3,2.5,4.4,7.4
Rodrigo Barbosa,F,2012-03-20,6º Ano,7.7,2.5,10.0,8.5
Maria Barbosa,M,2008-07-25,7º Ano,4.3,5.7,,0.9
Bruno Araújo,M,2012-08-11,2º EM,5.2,8.6,6.2,8.7
Mariana Pereira,M,2008-08-01,8º Ano,8.0,9.8,0.2,1.8
Bruno Martins,M,2011-09-07,7º Ano,3.5,3.2,5.6,3.9
Gustavo Araújo,F,2006-04-10,7º Ano,3.5,0.4,1.9,0.4
Larissa Almeida,F,2012-12-11,9º Ano,9.0,3.0,8.7,3.4
Aline Martins,M,2008-08-13,1º EM,1.9,7.3,1.9,7.4
Maria Carvalho,F,2005-02-13,6º Ano,6.1,2.4,2.6,4.8
Aline Lima,M,2008-06-15,3º EM,6.3,4.5,5.0,3.2
Fernanda Rocha,F,2013-06-16,2º EM,5.2,1.6,9.6,
Patricia Ribeiro,F,2009-02-21,1º EM,5.2,8.7,6.0,4.4
Juliana Moreira,F,invalid,8º Ano,,6.0,7.0,5.2
Rafael Oliveira,M,2013-08-10,6º Ano,3.0,7.2,6.4,6.8
Aline Dias,F,2006-04-14,1º EM,5.0,7.2,4.9,7.0
Fernanda Araújo,F,2006-12-14,1º EM,6.8,0.4,5.7,1.8
Diego Teixeira,M,2007-03-12,6º Ano,0.7,1.1,7.5,5.5
Bruno Ferreira,F,2012-04-11,2º EM,4.2,7.3,4.6,9.3
Maria Ribeiro,M,2010-04-11,,,0.4,7.9,9.4
João Araújo,F,2011-07-28,3º EM,4.9,6.3,5.3,6.6
Fernanda Souza,F,2013-11-15,6º Ano,8.6,9.1,9.5,3.1
Larissa Oliveira,M,2013-10-07,9º Ano,1.5,0.7,6.3,5.3
Maria Costa,F,2010-06-27,8º Ano,7.0,5.2,,0.7
Ana Oliveira,,2009-09-25,1º EM,2.4,7.6,7.9,7.9
Gustavo Carvalho,F,2012-10-10,3º EM,7.4,8.5,5.1,3.8
Fernanda Costa,F,,6º Ano,,6.6,6.0,6.9
Mariana Teixeira,F,2011-12-19,9º Ano,4.5,9.1,6.2,7.0
Lucas Ferreira,F,2006-08-15,1º EM,9.6,7.3,7.2,6.0
Maria Araújo,F,2007-01-07,2º EM,3.7,,2.1,7.2
Maria Costa,F,2013-06-04,2º EM,6.3,7.7,3.6,4.3
Maria Rocha,M,2005-02-22,1º EM,2.1,1.0,0.8,5.0
Ana Ribeiro,F,2009-01-08,6º Ano,9.8,4.4,0.4,0.3
Patricia Costa,M,2013-08-02,8º Ano,5.5,8.0,6.2,1.8
Felipe Rocha,M,2010-08-18,8º Ano,2.8,0.4,6.4,
Juliana Moreira,M,2013-09-24,7º Ano,2.8,3.1,9.9,5.9
Larissa Dias,,2011-05-10,2º EM,2.5,1.7,7.6,4.4
Patricia Ferreira,M,2013-01-15,3º EM,0.9,9.0,5.8,5.6
Maria Teixeira,M,2013-11-30,8º Ano,4.9,8.0,7.3,2.5
Rafael Barbosa,M,2006-07-24,1º EM,2.6,4.0,9.4,7.0
Patricia Lima,M,2006-02-27,9º Ano,3.9,8.3,5.4,8.3
Patricia Oliveira,F,2010-10-26,7º Ano,3.0,4.9,0.7,5.3
Felipe Melo,M,2005-08-26,6º Ano,,3.1,7.3,1.4
Larissa Martins,M,2006-09-25,3º EM,1.6,6.3,9.0,5.8
Aline Ribeiro,M,2007-03-16,2º EM,1.3,8.8,,3.3
Gustavo Barbosa,M,2008-02-19,8º Ano,5.0,1.3,1.3,6.3
Rodrigo Ferreira,,2005-12-05,7º Ano,2.6,3.6,4.7,6.5
Pedro Ferreira,F,2010-05-22,6º Ano,2.8,5.0,3.8,6.1
Camila Ferreira,F,2007-06-28,3º EM,6.6,7.2,1.0,2.1
Aline Oliveira,M,,1º EM,8.2,1.3,9.7,3.8
Larissa Melo,,2011-09-28,8º Ano,1.7,,4.9,3.6
Fernanda Ferreira,F,2012-03-18,8º Ano,7.8,7.4,9.7,0.6
Camila Araújo,M,2005-03-15,7º Ano,10.0,7.9,1.4,4.0
Carlos Carvalho,M,2013-09-26,6º Ano,3.3,3.1,3.5,7.5
Diego Almeida,F,2012-09-13,2º EM,9.8,5.0,8.2,9.9
Beatriz Souza,F,2010-12-15,2º EM,,5.7,6.4,2.9
Ana Silva,F,2011-09-11,7º Ano,0.7,8.0,1.3,7.4
Patricia Rocha,M,2007-10-30,9º Ano,1.3,7.8,4.5,
Beatriz Almeida,F,2005-01-27,7º Ano,8.0,9.3,5.0,3.4
Felipe Oliveira,Feminino,2008-05-07,9º Ano,3.6,,5.7,4.7
Rodrigo Araújo,M,2010-03-01,2º EM,4.0,,7.5,1.1
Bruno Silva,M,2009-04-16,1º EM,9.3,7.2,7.7,1.1
Juliana Ferreira,F,2006-02-23,3º EM,5.6,2.4,9.7,9.8
Rodrigo Rocha,M,2006-12-28,2º EM,3.3,2.7,7.5,7.3
Patricia Dias,F,2009-01-05,3º EM,0.9,5.6,4.4,7.8
Mariana Almeida,F,2011-03-29,2º EM,1.6,6.1,0.1,2.8
Fernanda Pereira,M,2010-05-13,1º EM,3.0,,2.9,6.6
Carlos Ribeiro,F,2005-02-20,8º Ano,4.4,4.7,0.9,5.1
Felipe Souza,M,2013-10-19,8º Ano,7.2,2.1,,3.5
Rafael Almeida,F,2005-08-22,9º Ano,7.6,4.6,2.3,8.0
Felipe Santos,F,2007-04-09,9º Ano,,3.5,4.1,1.1
,M,2013-06-15,8º Ano,8.6,5.9,2.4,0.0
Rodrigo Oliveira,M,2007-07-11,2º EM,2.0,0.9,1.8,0.5
Lucas Ferreira,F,2009-09-26,8º Ano,3.2,,3.9,4.1
Lucas Carvalho,F,2006-10-28,6º Ano,0.2,9.7,1.5,7.2
Rodrigo Pereira,F,2006-11-03,7º Ano,8.8,0.8,5.2,8.7
Diego Oliveira,F,2011-10-28,8º Ano,9.8,4.0,4.7,7.4
João Gomes,M,2009-03-28,1º EM,6.9,0.7,4.9,5.7
Camila Pereira,F,2013-08-27,7º Ano,6.4,2.1,5.9,6.5
Diego Souza,F,2005-08-02,3º EM,3.4,6.6,2.4,4.9
Maria Ferreira,M,2008-06-15,8º Ano,2.5,5.8,7.3,2.6
Gustavo Silva,M,2010-06-25,2º EM,3.7,7.3,2.7,0.6
Pedro Moreira,M,2011-07-08,3º EM,5.8,7.0,4.4,0.8
Rodrigo Gomes,M,2006-05-29,8º Ano,9.1,9.4,0.2,8.1
Gustavo Rocha,M,2005-05-06,2º EM,3.7,7.2,3.7,8.5
Larissa Gomes,F,2005-08-16,7º Ano,5.7,5.3,0.8,1.4
Fernanda Moreira,M,2008-01-27,6º Ano,4.3,9.8,3.7,5.1
Mariana Rocha,M,2013-04-14,8º Ano,0.1,,8.4,7.2
Fernanda Costa,F,2011-09-13,7º Ano,1.3,,,5.6
Pedro Gomes,F,2013-08-20,8º Ano,6.6,1.2,4.0,2.7
Ana Silva,F,2012-09-13,9º Ano,1.9,7.1,0.2,9.0
Rodrigo Oliveira,F,2005-05-12,7º Ano,9.1,1.0,5.1,9.6
Maria Teixeira,F,2013-10-31,7º Ano,3.5,0.0,5.4,4.1
Carlos Melo,F,2010-06-06,8º Ano,1.5,9.2,6.5,3.4
Patricia Araújo,F,2011-01-08,9º Ano,5.5,1.4,6.2,6.8
Rafael Silva,F,2008-04-27,6º Ano,6.5,3.5,8.4,5.1
Ana Costa,F,2010-05-16,7º Ano,6.4,7.2,1.6,2.5
Mariana Rocha,F,2008-10-24,6º Ano,4.7,1.9,3.7,5.9
Aline Silva,M,2008-08-30,7º Ano,,7.0,0.1,0.5
Patricia Teixeira,F,2005-01-08,2º EM,2.7,8.4,3.2,6.9
Larissa Rocha,M,2013-06-24,1º EM,6.4,7.7,9.5,3.3
Maria Oliveira,M,2008-10-15,6º Ano,2.9,9.2,2.0,7.3
João Gomes,F,2012-07-23,3º EM,7.9,6.6,2.3,9.3
Aline Costa,F,2006-10-21,3º EM,6.6,7.5,7.7,1.6
Carlos Teixeira,F,2011-12-20,7º Ano,5.0,6.7,2.3,8.1
Camila Rocha,M,2011-12-04,2º EM,0.0,5.1,1.6,8.9
Fernanda Santos,F,2011-09-04,9º Ano,3.9,0.1,0.8,2.9
Felipe Lima,M,2006-10-23,2º EM,,0.2,8.7,5.1
João Melo,F,2013-04-06,2º EM,7.4,8.2,6.4,0.3
Rodrigo Costa,F,2011-01-12,2º EM,3.0,0.4,2.3,5.2
Diego Souza,M,2012-09-06,7º Ano,2.0,8.6,7.2,3.8
Mariana Gomes,F,2008-04-01,8º Ano,4.2,,3.0,9.1
Diego Carvalho,M,2011-09-05,3º EM,9.4,1.5,2.0,2.0
Lucas Martins,F,2006-11-21,8º Ano,5.5,2.0,2.5,8.6
Ana Rocha,M,2010-02-19,8º Ano,4.4,9.4,9.3,8.9
Ana Silva,M,2006-10-02,6º Ano,2.6,2.5,7.9,2.6
Aline Oliveira,M,2008-06-03,3º EM,6.6,1.9,2.4,6.8
Rodrigo Moreira,M,2008-04-05,7º Ano,6.3,7.9,1.3,6.4
Carlos Gomes,M,2013-05-28,2º EM,2.5,9.2,5.2,1.7
Rodrigo Carvalho,M,2005-10-02,3º EM,0.6,7.2,3.1,0.3
Pedro Costa,F,,2º EM,3.9,0.6,7.7,1.7
Bruno Ferreira,M,2007-09-18,8º Ano,4.9,6.4,9.8,7.4
Patricia Santos,M,2009-08-16,1º EM,6.5,3.7,7.7,
Maria Pereira,M,2005-05-26,2º EM,3.4,6.8,,0.8
Ana Martins,M,2005-10-08,8º Ano,8.7,0.9,7.7,8.3
Rafael Rocha,M,2011-12-06,6º Ano,1.3,3.8,3.1,2.9
Lucas Silva,F,2010-03-26,7º Ano,9.0,3.9,0.1,4.5
Camila Teixeira,F,2008-05-06,7º Ano,8.7,9.8,1.2,5.5
Rafael Teixeira,F,2010-05-15,8º Ano,1.0,0.6,4.9,1.2
Beatriz Pereira,M,2006-09-30,8º Ano,0.3,,8.7,3.8
Fernanda Silva,F,2007-06-17,7º Ano,5.3,9.7,9.5,3.8
Fernanda Carvalho,M,2013-08-30,1º EM,0.3,0.6,3.5,9.6
Lucas Carvalho,,2007-05-03,8º Ano,7.1,0.7,0.2,7.8
Lucas Almeida,F,2008-08-25,8º Ano,7.9,4.4,2.8,4.4
Aline Teixeira,M,2012-06-29,8º Ano,0.0,1.3,3.0,7.7
Mariana Ferreira,M,2011-04-19,7º Ano,,6.7,6.7,1.4
Carlos Ribeiro,F,2013-02-05,8º Ano,8.7,2.9,2.3,5.2
Camila Lima,M,2013-07-31,7º Ano,9.9,6.7,3.5,9.3
Pedro Dias,M,2010-02-06,2º EM,7.0,9.2,7.5,1.1
Fernanda Araújo,M,2011-08-01,1º EM,4.9,5.6,9.4,8.7
Pedro Moreira,F,2006-05-29,8º Ano,8.5,2.4,5.8,9.1
Mariana Rocha,F,2007-03-20,6º Ano,7.8,9.8,7.2,1.4
Beatriz Araújo,M,2012-07-16,1º EM,1.6,1.6,4.3,
Rafael Almeida,M,2010-04-26,1º EM,0.7,0.7,5.6,0.8
Mariana Melo,M,2007-03-27,2º EM,4.2,5.7,1.6,3.0
Camila Almeida,F,2007-05-17,9º Ano,1.9,7.1,8.6,0.3
Maria Costa,M,2010-01-22,6º Ano,9.3,6.7,5.1,4.8
Maria Souza,F,2013-07-28,7º Ano,4.6,,0.9,7.7
Patricia Martins,F,2012-04-16,3º EM,9.8,0.7,2.5,1.6
Ana Santos,M,2009-05-24,7º Ano,8.6,4.3,9.9,2.5
Bruno Martins,M,2007-07-07,8º Ano,8.4,7.8,6.9,6.8
Ana Ferreira,M,2005-11-29,3º EM,9.1,,3.9,2.9
Maria Almeida,F,2008-11-19,1º EM,4.1,1.3,0.7,1.0
Rodrigo Souza,M,2006-01-30,9º Ano,2.8,0.5,3.8,3.7
Bruno Araújo,F,2011-06-28,2º EM,6.9,4.8,8.0,2.4
Rafael Pereira,F,2006-10-05,1º EM,1.6,8.9,5.4,3.6
Diego Ribeiro,M,2013-10-21,3º EM,3.0,8.0,6.3,0.6
Gustavo Costa,F,2012-11-29,3º EM,4.9,7.9,3.9,4.2
Camila Melo,F,2011-10-28,9º Ano,4.2,6.1,6.1,3.0
Fernanda Souza,M,2011-09-01,2º EM,4.5,0.5,1.0,5.1
Gustavo Barbosa,M,2011-06-06,7º Ano,2.9,9.8,4.2,0.1
Maria Oliveira,,2011-08-22,7º Ano,2.6,2.2,7.5,8.9
Fernanda Rocha,M,2005-04-13,2º EM,5.5,7.0,,0.4
Camila Costa,M,2008-12-01,7º Ano,8.4,3.9,9.7,
Felipe Carvalho,M,2011-04-23,9º Ano,0.9,7.1,3.7,1.0
Felipe Oliveira,M,2007-01-12,7º Ano,1.7,9.6,6.9,5.9
Felipe Silva,F,2013-12-08,2º EM,7.2,,9.6,1.7
Pedro Carvalho,F,2011-06-03,7º Ano,9.5,1.0,8.3,7.5
Gustavo Lima,F,2008-07-10,8º Ano,9.7,5.6,6.4,1.1
Diego Martins,F,2009-01-06,6º Ano,6.3,7.0,5.8,3.0
Diego Carvalho,F,2010-02-18,3º EM,1.1,7.7,8.6,0.8
Juliana Martins,F,2007-09-24,2º EM,1.9,9.1,3.5,1.6
Juliana Dias,M,2006-11-05,3º EM,1.3,3.4,6.3,6.7
Diego Rocha,M,2013-06-07,8º Ano,7.6,2.5,9.3,5.3
Larissa Teixeira,M,2013-06-26,7º Ano,5.8,8.3,4.3,7.5
Fernanda Barbosa,M,2011-05-10,8º Ano,9.3,4.2,9.2,10.0
Beatriz Melo,F,2008-02-20,6º Ano,9.1,9.5,0.5,9.1
Rafael Melo,F,2005-02-27,3º EM,5.5,1.6,5.3,2.1
Aline Ferreira,F,2012-01-09,9º Ano,5.6,6.6,8.6,9.9
Rodrigo Costa,M,2008-06-10,6º Ano,9.3,4.8,1.2,0.4
Aline Lima,F,2005-11-14,1º EM,8.6,8.6,3.8,3.1
Juliana Almeida,M,2012-05-26,3º EM,0.8,7.3,2.2,1.8
Carlos Pereira,M,2009-09-09,1º EM,1.8,,10.0,6.5
Gustavo Lima,,2010-05-02,7º Ano,6.2,4.6,3.1,6.5
Maria Dias,F,2005-07-13,3º EM,4.7,1.1,5.2,9.3
Ana Carvalho,M,2009-07-27,8º Ano,3.7,2.7,9.6,1.9
Larissa Oliveira,F,2006-12-18,2º EM,4.8,8.0,7.8,
Fernanda Souza,M,2009-05-12,9º Ano,6.2,4.1,2.4,8.5
